Aaj Jaane Ki Zid Na Karo, Farida Khanum, Classic Ghazals
Aaj Ki Raat, Alisha Chinai, Mahalakshmi Iyer & Sonu Nigam, Indian Hard Rock
Aankh Marey, Neha Kakkar & Mika Singh, Bollywood Dance
Agar Tum Saath Ho, Alka Yagnik & Arijit Singh, Sad Bollywood
Badtameez Dil, Benny Dayal & Shefali Alvares, Bollywood Dance
Breathless, Shankar Mahadevan, Indian Classical Fusion
Baarish Ban Jaana, Payal Dev & Stebin Ben, Romantic Bollywood
Bulleya, Amit Mishra & Shilpa Rao, Sufi Rock
Chammak Challo, Akon & Hamsika Iyer, Bollywood Dance
Channa Mereya, Arijit Singh, Sad Bollywood
Chura Liya Hai Tumne Jo Dil Ko, Asha Bhosle & Mohammed Rafi, Modern Ghazals
Cocktail, Neha Bhasin & Arijit Singh, Bollywood Pop
Dheere Dheere se Meri Jindagi, Yo Yo Honey Singh, Bollywood Dance
Dhoom Machale Dhoom, Aditi Singh Sharma, Action Songs
Dil Chori, Hans Raj Hans, Punjabi Bhangra
Dil Diyan Gallan, Atif Aslam, Romantic Bollywood
Dil Ke Armaan Aansuon Mein Beh Gaye, Salma Agha, Sad Bollywood
Dilbaro, Harshdeep Kaur, Vibha Saraf & Shankar Mahadevan, Folk/Emotional
Dilliwaali Girlfriend, Arijit Singh & Sunidhi Chauhan, Bollywood Dance
Genda Phool, Badshah & Payal Dev, Fusion
Ghungroo, Arijit Singh & Shilpa Rao, Bollywood Dance Numbers
Hasi Ban Gaye, Ami Mishra & Shreya Ghoshal, Romantic Bollywood
Jai Ho, A.R. Rahman, Sukhwinder Singh, Tanvi & Mahalakshmi Iyer, Indian Fusion
Jeene Laga Hoon, Atif Aslam & Shreya Ghoshal, Romantic Bollywood
Kabira, Tochi Raina & Rekha Bhardwaj, Heartbreak Bollywood
Kala Chashma, Amar Arshi, Badshah & Neha Kakkar, Punjabi Bhangra
Khamoshiyan, Arijit Singh, Romantic Bollywood
Khuda Jaane, KK & Shilpa Rao, Romantic Bollywood
Kya Mujhe Pyar Hai
Lag Ja Gale, Lata Mangeshkar, Classical Bollywood
Lungi Dance, Yo Yo Honey Singh, Bollywood Dance
Main Agar Kahoon, Sonu Nigam & Shreya Ghoshal, Romantic Bollywood
Mere Gully Mein, Divine & Naezy, Desi Hip-Hop
Morni Banke, Guru Randhawa & Neha Kakkar, Punjabi Pop
Pehla Nasha, Udit Narayan & Sadhana Sargam, Indie Folk Pop
Pehli Nazar Mein, Atif Aslam, Alternative Rock
Phir Bhi Tumko Chaahunga, Arijit Singh & Shashaa Tirupati, Sad Bollywood
Raabta, Arijit Singh & Hamsika Iyer, Romantic Bollywood
Sau Aasmaan, Armaan Malik & Neeti Mohan, Bollywood Dance
Saudagar Sauda Kar, Mohammad Aziz & Sukhwinder Singh, Bollywood Folk
Tajdar E Haram, Atif Aslam, Sufi Rock
Tera Ban Jaunga, Akhil Sachdeva & Tulsi Kumar, Romantic Bollywood
Tera Hone Laga Hoon, Atif Aslam & Alisha Chinai, Romantic Bollywood
Tareefan, Badshah, Bollywood Dance
Tujh Mein Rab Dikhta Hai, Roop Kumar Rathod, Romantic Bollywood
Tujhe Kitna Chahne Lage, Arijit Singh, Romantic Bollywood
Tum Hi Ho, Arijit Singh, Romantic Bollywood
Tum Se Hi, Mohit Chauhan, Acoustic Soft Rock
Ve Kamleya, Arijit Singh & Shreya Ghoshal, Romantic Bollywood
Zaalima, Arijit Singh & Harshdeep Kaur, Romantic Bollywood
